block,comparison,region,metric,delta,p_wilcoxon_raw,p_wilcoxon_holm,p_ttest,direction,significant,n_nonzero
S1 in-domain screen,IN + ReLU vs IN + LeakyReLU,ET,Dice,-0.034537635818740364,0.08294484905989785,1.0,0.0036348318526683073,worse,no,203
S1 in-domain screen,IN + ReLU vs IN + LeakyReLU,TC,Dice,-0.01110451900764542,0.794793110419385,1.0,0.136184176490177,worse,no,218
S1 in-domain screen,IN + ReLU vs IN + LeakyReLU,WT,Dice,0.0027778525635290263,0.040727779409502674,0.6923722499615454,0.7687782378904691,better,no,219
S1 in-domain screen,IN + PReLU vs IN + LeakyReLU,ET,Dice,-0.02607017060953598,0.007442225950363479,0.1786134228087235,0.06594321699654329,worse,no,205
S1 in-domain screen,IN + PReLU vs IN + LeakyReLU,TC,Dice,-0.013719258432137504,0.002953302678192715,0.08269247498939603,0.19006000326300732,worse,no,217
S1 in-domain screen,IN + PReLU vs IN + LeakyReLU,WT,Dice,0.025103549310146245,0.639285872347833,1.0,0.03188235567879575,better,no,219
S1 in-domain screen,IN + ELU vs IN + LeakyReLU,ET,Dice,-0.04942879846683734,0.36964693378119273,1.0,0.0009835870133212221,worse,no,206
S1 in-domain screen,IN + ELU vs IN + LeakyReLU,TC,Dice,-0.007545545927326702,0.0008261691673410176,0.02395890585288951,0.26935263728913117,worse,yes,216
S1 in-domain screen,IN + ELU vs IN + LeakyReLU,WT,Dice,0.012676131077231978,0.014117072100408468,0.3105755862089863,0.28216085252578815,better,no,219
S1 in-domain screen,IN + GELU vs IN + LeakyReLU,ET,Dice,-0.010965880045084031,0.0062329942327779,0.15643362883640233,0.2938148581444283,worse,no,201
S1 in-domain screen,IN + GELU vs IN + LeakyReLU,TC,Dice,-0.013920136244002013,0.00601667803216932,0.15643362883640233,0.05211881959339842,worse,no,216
S1 in-domain screen,IN + GELU vs IN + LeakyReLU,WT,Dice,0.01945211971307037,0.1065684888196412,1.0,0.06941391804891732,better,no,219
S1 in-domain screen,IN + Swish vs IN + LeakyReLU,ET,Dice,-0.028421186399703813,0.02597450336318241,0.4935155639004658,0.023830801281832285,worse,no,205
S1 in-domain screen,IN + Swish vs IN + LeakyReLU,TC,Dice,-0.0032208161315612216,0.03718201896312445,0.6692763413362401,0.6924733083851757,worse,no,217
S1 in-domain screen,IN + Swish vs IN + LeakyReLU,WT,Dice,-0.012219774697158847,0.980453706564477,1.0,0.29710217870609745,worse,no,219
