,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8157714712162358,0.9080139043250017,0.9675154635431588,11.045361017187261,12.767145334803704,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9723447471845967,0.9860204351835788,0.4911093068101086,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8221417575507903,0.9156836613168491,0.9094736473564204,3.605551275463989,4.123105625617661,7.280109889280518,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9692848116177951,0.976228847703465,0.9405627606764667,1.0,1.0,4.242640687119285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.925999208547685,0.9604538277092227,0.973296266300243,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9612668450175305,0.9880091905605285,0.9856422387962553,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.39542380046501796,0.9268249908659116,0.9059932514777937,188.0,2.8284271247461903,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8519757663441541,0.9737436476566911,0.9561205415509622,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9416065324724648,0.9523976659500724,0.9743314125546809,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.8961748633879781,0.9062181447502549,0.9639715050528831,1.0,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9587091319052987,0.98697369526851,0.8325919972234147,1.0,0.0,10.04987562112089,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9806499813223758,0.9895604005397344,0.9795442080819632,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8896834015537549,0.9759053675822341,0.9711392892860747,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8676342434701684,0.9287776151844779,0.9419116791596722,2.23606797749979,2.23606797749979,4.123105625617661,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7637249593936113,0.9315179293610137,0.9167410291771451,1.7320508075688772,2.0,7.615773105863909,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9400095984642457,0.9261528805496829,0.9657848417701663,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8906122158585607,0.8617286204154009,0.9066261765822337,2.449489742783178,4.123105625617661,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9273233338487706,0.9519453972213561,0.4889336433851009,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.5651254648073781,0.5813312347548266,0.9174945176095579,2.82842712474619,2.6213203435596424,2.23606797749979,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8698926434568564,0.9131568161324699,0.9117115957420181,5.196152422706632,6.557438524302,6.164414002968976,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7949827196771719,0.8123154032322726,0.8366111098581385,3.449489742783178,3.618033988749895,7.54983443527075,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9836429308565532,0.9933626885967752,0.9843552696290192,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9718786675092534,0.9773115828465594,0.48609160660311557,2.0,3.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.8404340947570013,0.9600478032101184,374.0,2.23606797749979,3.1622776601683795,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9717866652322422,0.9813112109690056,0.9851316346398036,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9532557997433652,0.9689207958296506,0.4492013705402042,1.0,1.0,199.74754878398196,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9630589430894309,0.9771207038547295,0.49502053164486787,1.0,1.4142135623730951,187.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.981731556614308,0.9932497589199615,0.9914563721224586,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9613143483023001,0.9767111878836485,0.9797707239693209,2.0,6.164414002968976,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.9614075958679459,0.9848119611351839,0.9680738131327802,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.8894239674013706,0.8896247240618101,0.8667407557082238,3.1622776601683795,3.4641016151377544,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.901262282412689,0.9165223885663849,0.8956764854626476,2.0,2.23606797749979,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.8798558514537015,0.0,0.0,2.23606797749979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9611183923110529,0.9852038975099242,0.9812430935262123,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00264-000,0.9000594441967603,0.9410103455231837,0.9876823522733723,1.4142135623730951,1.7320508075688772,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00287-000,0.8067254980612382,0.856575288041319,0.9475879208797194,2.8284271247461903,3.0,4.242640687119285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00307-000,0.9450626355938134,0.9743890681980132,0.8884032289820831,1.0,1.0,8.774964387392123,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00323-000,0.963343368160085,0.9795062126835565,0.8980722457436267,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00333-000,0.6658458154270098,0.6936301773623277,0.9268388439215584,2.0,2.0,4.123105625617661,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00335-000,0.9731381504263577,0.9893823446050537,0.9848319131202369,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00337-000,0.44208566108007447,0.9511901647920481,0.9311229569283809,187.5,2.0,3.3166247903554,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00355-000,0.9797673242286292,0.9906193490054249,0.9809695093897696,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00372-000,0.984215496694698,0.9864273759124601,0.9801571850890475,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00381-000,0.9243603616182066,0.9473163492456097,0.9601703212171129,2.23606797749979,3.1622776601683795,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00384-000,0.852332934541104,0.9413390517035978,0.9303836890623702,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00422-000,0.9280168730340551,0.9347345322384324,0.9699386129484053,1.0,4.47213595499958,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00428-000,0.9733695652173913,0.98837474021253,0.9842423331651656,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00434-000,0.9413292409396765,0.9335809482193577,0.9505278275898443,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00438-000,0.9573241061130334,0.9573241061130334,0.9666876595180484,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00447-000,0.9587667988327511,0.981209923732295,0.983974254997502,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00450-000,0.9057106729093333,0.9626015226409397,0.9900680304359163,1.4142135623730951,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00458-000,0.9649360813983825,0.9770268020642584,0.9766476285075739,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00460-000,0.9503384587797552,0.9763285982001804,0.48332152647303417,1.0,1.0,188.87082869338698,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00462-000,0.8997062526227444,0.9570786048312632,0.9401998187534264,1.0,1.4142135623730951,3.3166247903554,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00462-001,0.9395184967704052,0.910989010989011,0.9527882395820678,1.0,1.0,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00463-000,0.9484816325010705,0.9737101905005667,0.95742453740483,1.0,1.0,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00467-000,0.833718730292201,0.9454700672286842,0.899311647995681,1.4142135623730951,1.0,6.48074069840786,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00467-001,0.8967216627383758,0.9386345858171715,0.9893726267523225,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00474-000,0.6370718516610868,0.6571303968600087,0.9747912705478072,7.0710678118654755,7.3484692283495345,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00474-001,0.8831782540512284,0.911299985023214,0.9767732555562451,2.23606797749979,2.23606797749979,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00489-000,0.916773491353247,0.9500769423469205,0.9606895787685565,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00492-000,0.4723005224189123,0.9772857250763437,0.951719700427213,187.5,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00503-000,0.8906779661016949,0.9263284299009307,0.8915054667788057,1.7320508075688772,2.23606797749979,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00503-001,0.0,0.0,0.9398243839512145,252.42453949849858,252.42453949849858,2.449489742783178,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
BraTS-GLI-00521-000,0.15955086218419998,0.15933787211320252,0.8998351440999464,299.8324555320337,299.8324555320337,5.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
BraTS-GLI-00521-001,0.13298160238341886,0.015803697488644682,0.8592779910778046,251.5501518317161,142.49134777933935,39.370039370059054,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
