,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8147035507155672,0.9077078025949404,0.9659937963850139,12.12435565298214,13.92838827718412,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9688657570216158,0.9809007904675205,0.48522030500072094,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8262080975185024,0.914984067053221,0.9083579988370415,3.1622776601683795,3.605551275463989,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.97719672268205,0.9809136597210458,0.9293398440932428,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9110305237994568,0.952921385584988,0.9691436362924456,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9690528598179966,0.9865897862261194,0.985030614543444,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.79398212402154,0.9247564512530676,0.8735022279605108,1.7320508075688772,2.8284271247461903,10.04987562112089,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8376934414148858,0.9653788258906172,0.9492855882871759,2.0,1.0,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9277718290664849,0.9387498314833955,0.9612374000695169,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.8151102768653214,0.8229863835679667,0.9620985924075315,10.44030650891055,10.488088481701515,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9493481513143834,0.9831873609507449,0.8266287733600082,1.0,1.0,10.344080432788601,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9836089619009204,0.9869455362156092,0.9660393427885354,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8673090399439384,0.9738393993713143,0.9728897046864472,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8731404386506381,0.9408883522369288,0.9430414818403825,1.618033988749895,2.0,3.4641016151377544,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7255501825717952,0.9288657139178575,0.9289934294075424,2.0,1.7320508075688772,6.4031242374328485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9303904923599321,0.9235922821157019,0.9665460941787956,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.44389369152949537,0.8668858786039839,0.9031292242000076,188.1180339887499,4.898979485566356,2.8284271247461903,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9307119679328116,0.9518196856906534,0.4886377837950427,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.7724292829438453,0.7894384242573388,0.9229913443200156,2.2071067811865475,2.0,2.23606797749979,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8969302703801586,0.9303844807282218,0.9234834429639625,3.7416573867739413,5.196152422706632,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.25339533512310447,0.2617213938446526,0.8430319460310424,250.64882037116536,250.67783664539084,7.14142842854285,2.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9842279383479086,0.9939380259891013,0.9866565312410919,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.968318188852778,0.9783016716658773,0.9740778038864645,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
