,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8246064758176331,0.9110076573988297,0.9658959841681607,11.045361017187261,12.727922061357855,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9738093242158964,0.9860927695152051,0.488401035273845,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8242466093374047,0.9151613040336635,0.9008313828210381,3.3166247903554,3.605551275463989,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9743846031155298,0.979868717322444,0.9397831607735886,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.927810062463097,0.9622163331906078,0.9730855663164619,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9642675253413068,0.9890415517733194,0.9871144172227911,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7900592325521504,0.9291573236889693,0.9074034138977821,2.0,2.449489742783178,4.58257569495584,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.854561717352415,0.9760336370007008,0.9565621923380684,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9491873715673455,0.9575867739980958,0.9738057498906865,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.44730969501611706,0.4509135200974421,0.9641084834096285,187.70710678118655,187.70710678118655,2.449489742783178,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9628436350901769,0.9887740854509913,0.8322916379856273,1.0,0.0,10.246950765959598,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9853247914183552,0.9904768673157558,0.981567362696862,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
