,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8196373141643523,0.9097680083381152,0.964855583913411,11.045361017187261,12.727922061357855,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9707718433830037,0.985513038265561,0.48980083466223323,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8349086865403533,0.9225601503495768,0.9085988544202911,3.0,3.0,7.211102550927978,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.971695211835198,0.9795042264222623,0.9406474820143885,1.0,1.0,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9268262239835242,0.9615424628081978,0.9726297910421865,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9625664937282459,0.9883589847041093,0.9859764469021677,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7942228838569825,0.9274527400631097,0.9067130631680597,1.7320508075688772,2.449489742783178,4.358898943540674,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8546765150840971,0.9761854878133948,0.9569835825870059,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9445353020886874,0.9539593249675465,0.9731190828703766,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.7546777546777547,0.7628021302744776,0.9639479179461983,11.489125293076057,11.575836902790225,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9610043484359658,0.9890637205669011,0.8316840788699235,1.0,0.0,10.344080432788601,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9800342695373613,0.9870848708487084,0.9795434818307646,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8853364579845999,0.9758944646864574,0.9751482899574135,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8729339831656115,0.9369526917217452,0.9416937319104748,1.8251407699364424,1.8251407699364424,3.605551275463989,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7479548514031272,0.9375269280482551,0.9203616479887391,2.0,1.7320508075688772,7.681145747868608,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9380428914953134,0.9295617777850573,0.9649081068221019,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8892284186401833,0.8624010382868267,0.9067270835254291,2.23606797749979,4.123105625617661,8.54400374531753,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
