,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.827146667752642,0.9120610687022901,0.9674759542371165,6.6332495807108,9.219544457292887,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9743087488802628,0.986037440075828,0.4875306811996563,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8352542661752487,0.9203714402468753,0.9176712578436222,3.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9749712100241942,0.9798650072622676,0.9416014154264339,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9304405895233806,0.9627966199791642,0.9732487684110276,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9708933952276244,0.9886207060388654,0.9868750224973903,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7962403491104397,0.9314194577352473,0.9020223382459851,2.0,2.23606797749979,5.385164807134504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8519868432749578,0.9743804537521815,0.956872411966311,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9488647025708388,0.957402416760845,0.9727347385710375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.37464212678936604,0.37867795243853286,0.9630876570275255,192.408326913196,192.4313902456001,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9667177273360257,0.9906240436246279,0.8393383557156895,1.0,0.0,9.433981132056603,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9845056292498049,0.9905058806858439,0.981256864806132,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.893934382854875,0.9768410273914157,0.48669269066965665,1.4142135623730951,1.0,187.70710678118655,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8859221799347415,0.9423746303931085,0.9458277559569129,1.618033988749895,1.5,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7478242523339839,0.9321221466161633,0.9255371764576579,2.0,2.0,7.874007874011811,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9417345645482528,0.9299702000851426,0.9654476654185575,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8922243068584532,0.8648217889230215,0.9057548390452598,2.23606797749979,3.7416573867739413,5.656854249492381,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9321781611388879,0.9536524102811135,0.49082564000461076,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.8216737711522266,0.8381184097372159,0.9258668671521163,1.8251407699364424,1.618033988749895,2.23606797749979,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8777529524417491,0.9153932561321815,0.9153316598614538,5.0990195135927845,6.557438524302,6.164414002968976,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7764880059281548,0.7894505467597934,0.8468979528943118,3.774254628187981,4.192582403567252,7.3484692283495345,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9845638448653524,0.9939333149984632,0.9895743534482758,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9741048808376118,0.9792832353566117,0.9753319613205154,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.9371970869598315,0.9741115988716597,374.0,1.0,2.23606797749979,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9776537059051384,0.9857408129112125,0.9879194904320191,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.963229963753524,0.9767441860465116,0.8978778485540075,1.0,1.0,25.079872407968907,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9629741271037427,0.9756710907095101,0.4953651808215475,1.0,1.4142135623730951,187.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9805098794748869,0.9929485466583534,0.9916399994310989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
