,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8233675564681725,0.9104248743777867,0.9682109683734267,7.3484692283495345,9.899494936611665,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9733732396885396,0.9854653278032453,0.4900840130422513,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8252039538999438,0.9133204098587648,0.9110055388926593,3.1622776601683795,3.3166247903554,7.0710678118654755,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9745161461371229,0.9798129844407626,0.9427711747854445,1.0,1.0,3.605551275463989,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9275845937938563,0.9614059509309205,0.9723649531318039,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9674075289100303,0.9884931506849315,0.9865786340513043,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7944145967972177,0.9306423939279379,0.8968979001675923,2.0,2.449489742783178,6.4031242374328485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8479229809235158,0.9754829645240605,0.9545989537925021,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.947496718544909,0.9552057058363052,0.9711865802767407,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.362467349809122,0.36660724896019015,0.9603970861557163,192.87367006223536,192.8949130612758,4.123105625617661,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9630825379000562,0.9860853952757672,0.823266967821092,1.0,0.0,10.44030650891055,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9848377603099504,0.9884279864696457,0.978856806128462,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8873826903023984,0.9761762036069673,0.9745585722422632,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8732785465848586,0.9361914728724652,0.9434587584797983,1.8251407699364424,1.7071067811865475,3.605551275463989,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7420933536809977,0.9334317541269628,0.9224389578502251,2.0,2.0,6.4031242374328485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.4715563375119126,0.46490767336889616,0.9658029994127855,187.5,188.1180339887499,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.889815829474354,0.8599161703066402,0.9064447976557236,2.23606797749979,4.0,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9295363831747007,0.951112341279452,0.4897824997912666,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.8002765321138411,0.8165635739660965,0.923935219455829,1.8251407699364424,1.618033988749895,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8715793564999817,0.9154254450432794,0.9129624605543101,5.0990195135927845,6.48074069840786,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7730402735458617,0.7903099747222004,0.8377617864038093,3.774254628187981,4.192582403567252,7.280109889280518,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.977620669040626,0.9904746423927178,0.9873831838354585,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9699464615107752,0.9766778403822837,0.9739278752436648,1.4142135623730951,1.7320508075688772,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.8405974126922436,0.9539663665704093,374.0,3.0,3.3166247903554,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9746349168105582,0.9827512801334791,0.986492149093969,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9612628434162983,0.9703783783783784,0.45390354267450644,1.0,1.0,199.77693233918063,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9661625613271964,0.9767656500802568,0.4949107491027161,1.0,1.4142135623730951,187.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9768426107967763,0.9915550335271116,0.9918108508358277,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9624118690254769,0.976718539394682,0.9773838178875681,2.0,6.164414002968976,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.9632213450829202,0.9858917729092493,0.9693555080282185,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.8872733965215791,0.886234148134534,0.8632312263087798,3.3166247903554,3.605551275463989,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.9130905156869816,0.9253711381570149,0.9020777775646068,1.4142135623730951,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.877335744424352,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9720430107526882,0.9894284178462641,0.985553633217993,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
