,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8159835221421216,0.9053783562909358,0.965108348193375,18.439088914585774,20.322401432901575,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9746513067072881,0.9851965288412455,0.48766451859537985,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8132018953216056,0.908043597741597,0.9065193601409121,3.7416573867739413,4.0,5.196152422706632,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.4904465256292332,0.49219890210257716,0.9358698875982834,187.5,187.5,5.385164807134504,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9132955403170117,0.9516901925056498,0.9598178628396626,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9683945201892074,0.9863937444702169,0.9844392555144975,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7879500053413097,0.9222645071835266,0.8949024646083541,1.7320508075688772,2.8284271247461903,6.708203932499369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8391991955388975,0.9672447013487476,0.9433600926369233,2.0,1.0,2.8284271247461903,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9379270798489989,0.9460764765829235,0.9526854219948849,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.8951798010711554,0.9003764115432873,0.9515841792906071,1.0,1.0,8.602325267042627,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9427240143369175,0.9785597103580924,0.821148973185583,1.0,1.0,11.575836902790225,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9776141826923077,0.9839269733309468,0.9715284299623153,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8781308411214953,0.9732852110243835,0.9730884820585958,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8412543097239422,0.910763044929189,0.9299381481891117,7.383016031820729,7.724744871391589,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7322717832064088,0.931628610994815,0.9176247801974841,1.7320508075688772,1.7320508075688772,7.681145747868608,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.46975903763567284,0.4629211811667865,0.9633852225389169,187.5,188.1180339887499,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.888770108798731,0.8533251025631133,0.9002437403057832,2.23606797749979,4.242640687119285,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9239657244775309,0.9478154917319408,0.9761670277723065,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.8382098209566861,0.8542933014125083,0.9159566344170721,1.8251407699364424,1.618033988749895,2.23606797749979,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8824358143654554,0.9184485370972054,0.9161065719360568,5.196152422706632,6.557438524302,5.830951894845301,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.31214615983229504,0.40364117653111453,0.8375505416485741,225.8,188.75,7.211102550927978,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9832471242183278,0.9933200705193523,0.9852680084027919,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.968946874581118,0.9783877471614021,0.4843991436284092,1.0,2.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.4456355853340778,0.9154563038508879,374.0,8.602325267042627,4.898979485566356,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9725905573474561,0.9829046136946173,0.9775278976419178,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9601559987134127,0.9709264716452239,0.9149205533741881,1.0,1.0,28.442925306655784,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9558197487280656,0.971853663507592,0.9841617747192755,1.4142135623730951,1.7320508075688772,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9728430665705359,0.989668297988037,0.9893481671658821,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9555850040610439,0.972966383225138,0.9703486047977977,2.0,6.082762530298219,4.69041575982343,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.9676578604430754,0.9867981968268836,0.9492077004725241,0.0,1.0,11.789826122551595,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.8904636920384952,0.8904636920384952,0.8702514995264653,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.8963778593408223,0.9118270743552911,0.8781412991939308,2.23606797749979,2.449489742783178,6.708203932499369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.8794098360655738,0.0,0.0,6.082762530298219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9175987217530244,0.9642593957258658,0.9858987378499927,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00264-000,0.8734537072608528,0.914021790620559,0.9866350121207353,1.7320508075688772,2.449489742783178,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00287-000,0.8051269878946119,0.8531924809693957,0.9374913947404654,2.8284271247461903,3.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00307-000,0.9191300249141472,0.9576029351814105,0.8897021429354925,1.0,1.0,8.660254037844387,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00323-000,0.9657848324514992,0.9800193361263294,0.8166415197012046,1.0,0.0,8.06225774829855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00333-000,0.6662574354472438,0.6974937737792691,0.9210710651176929,1.9142135623730951,2.121320343559643,4.47213595499958,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
