,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8185128046899105,0.9092792729156366,0.9650543670013151,11.045361017187261,12.727922061357855,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9737867093598414,0.9861749474393163,0.49200803917072444,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8365197701493174,0.9198801339679182,0.9199376812221405,3.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9734875388252255,0.9799108203953185,0.9407074636572764,1.0,1.0,4.58257569495584,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9268262122541034,0.9608050478171445,0.9733396955627972,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9631356212391721,0.9890649781180315,0.9793847920013171,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7966145698115167,0.9286667827500145,0.9027224544885933,1.7320508075688772,2.449489742783178,5.385164807134504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.851574483443111,0.9737732656514383,0.9560112896129123,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.942413809366599,0.9524806911899464,0.9741546661616196,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.8048890900860117,0.8131819193943443,0.9639459644530353,10.44030650891055,10.488088481701515,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9627994955863808,0.9890882705885636,0.83591124281739,1.0,0.0,9.695359714832659,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9819548312683707,0.9883687943262411,0.9769648805002045,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8881832918330854,0.9755309325946445,0.9680462624031255,1.4142135623730951,1.0,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8738001215363254,0.9329867060824628,0.9417592372132229,1.8251407699364424,1.9840593925343335,3.1622776601683795,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
