,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8203921568627451,0.9100310482014473,0.9674683121140966,11.045361017187261,12.727922061357855,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.973644154131959,0.9848168065078655,0.489719841927292,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.818095745954358,0.913404423324536,0.9056535544187687,3.605551275463989,4.0,7.3484692283495345,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9636829967454792,0.9707264812902354,0.9392322131841437,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9286152973968914,0.961459403905447,0.9733029824949941,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.963040481055132,0.9865502057662543,0.9843343089839041,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7945090422320796,0.931380716446705,0.9059987476518472,2.0,2.449489742783178,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8522021075385031,0.9747094047199718,0.9547861064303963,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9431358553414227,0.953373801354799,0.9725250822480219,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.9002047082906858,0.907537688442211,0.9636652796235377,1.0,1.0,3.3166247903554,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9572064119765553,0.9861983842010772,0.8262098785963745,1.0,0.0,10.677078252031311,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9832485791205504,0.9895974349839687,0.9791457227690366,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8877237206957399,0.9762327492302019,0.48536217684702276,1.4142135623730951,1.0,187.86602540378445,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8720720201382637,0.9335603985256186,0.9408724746986754,1.9840593925343335,2.118033988749895,4.123105625617661,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7461303569548279,0.9332976158585587,0.9233040767779509,2.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9423318265446614,0.9293219740225598,0.9663787034417417,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.887359782102283,0.8564439328135629,0.9015891906576028,2.8284271247461903,4.123105625617661,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9296977155603415,0.9519689943940757,0.48982823095592753,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.6692827098033696,0.6848781760700016,0.9208684729947963,2.2882456112707374,2.08113883008419,2.23606797749979,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8735660046905964,0.9164112497854499,0.9148193870431002,5.0990195135927845,6.4031242374328485,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
