,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8213468453743054,0.9091893418698804,0.9640681287876658,11.357816691600547,13.076696830622021,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9725395774393547,0.985875886751454,0.4916251789527835,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8279134832669751,0.9176983262355155,0.912525517199354,3.1622776601683795,3.1622776601683795,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.972559709518384,0.9785124914049965,0.9384719811145084,1.0,1.0,4.47213595499958,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9285434028595194,0.9613675851533986,0.9730211290172291,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9650317215789561,0.9868441566228938,0.983282171527784,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.799027638323733,0.9327463496955022,0.9141777000861485,2.0,2.449489742783178,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8478319905856794,0.973432518597237,0.9558018771569565,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9425757647842429,0.9521168911187395,0.9716940009807661,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.29842228935884524,0.30085723705901746,0.9643407449680634,249.80473785412437,249.80473785412437,1.7320508075688772,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9621204142531157,0.986407331633082,0.8339761315674574,1.0,0.0,10.099504938362077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9806987356923768,0.9877466695162784,0.9757016737813035,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8918954812576779,0.9762075684545175,0.9709084984268972,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8778082834186817,0.9385876540242222,0.9451827924610942,1.618033988749895,1.8251407699364424,3.1622776601683795,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7468234799957997,0.9330795431777199,0.9156776675879261,2.0,2.0,6.082762530298219,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9417939986969723,0.9277424987439565,0.9668609962733409,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.4438546933194192,0.4285094922157262,0.8984491857415742,188.5,189.2360679774998,6.324555320336759,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9280617164898747,0.9510799847449988,0.48840051369153653,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.46302571720360225,0.4779786822387167,0.9177512088335057,187.70710678118655,187.5,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
BraTS-GLI-00141-000,0.874038292746412,0.9151559456181262,0.9076953159719136,5.385164807134504,6.708203932499369,6.164414002968976,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7885545089295714,0.8034917542485986,0.8338903818793614,3.29128784747792,3.618033988749895,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9788880521436547,0.9909658130768231,0.983419675318622,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9689522516406427,0.9744231353554129,0.968687356151162,2.23606797749979,3.1622776601683795,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.9417561591914088,0.9736128800496391,374.0,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9743926460932371,0.9826540360731593,0.9827802793279156,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9602232512992659,0.9715910113168169,0.4445501380564348,1.0,1.0,199.65898890117217,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9644958409413674,0.976829097036933,0.49423471181459433,1.0,1.4142135623730951,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9763205282112846,0.9913966821085193,0.9904568894709657,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
