,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8299151273090365,0.9112303206997084,0.9604823674084653,18.05547008526779,20.049937655763422,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.970568891811904,0.9824248001587903,0.4925230916856511,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8310995376521231,0.9224079892280072,0.9206538249102458,3.605551275463989,4.58257569495584,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9748002719700833,0.9793506381922501,0.9314402480270575,1.0,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9329322742867886,0.9643579875773491,0.9727154315486392,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.973965265378997,0.9875011903628226,0.9794369476141829,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7860876660631869,0.928941953806474,0.898562197092084,2.0,2.449489742783178,6.4031242374328485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8459627329192546,0.9752471776172779,0.9538375494751333,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9512970076350358,0.9576782489981063,0.9709021290462742,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.30074558096674203,0.3023255813953488,0.9622346427124492,249.66666666666666,249.66666666666666,5.477225575051661,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
