,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8283600292706724,0.9112273074437459,0.9660885467955546,11.357816691600547,13.152946437965905,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9744720187726659,0.9849498327759197,0.4924777640883698,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8318708918933362,0.9183749849941035,0.4593128701467264,3.0,3.1622776601683795,189.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9737662969346431,0.9791613264598938,0.9346421325452392,1.0,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9282260714453363,0.9618911141402491,0.9731387810695826,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9708081868276043,0.9879083327359189,0.9829781338958131,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7939403308084712,0.9308743686409222,0.8999061186170864,2.0,2.449489742783178,6.4031242374328485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8504697986577181,0.9759493670886076,0.9560068046254226,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9473186865107489,0.9553454163383241,0.9726799771198213,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.2236017055430148,0.22535731887629373,0.9607146887995625,281.0,281.0,5.196152422706632,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9645429750332191,0.9889987155860837,0.8346728938126787,1.0,0.0,9.643650760992955,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
