,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.827831754269507,0.9105194850748887,0.9668933616904278,11.357816691600547,13.152946437965905,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9712965243809457,0.9822949047168537,0.49166683521773424,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8332234673698088,0.9187304047627435,0.9036759401010047,3.0,3.1622776601683795,7.280109889280518,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9761226955197226,0.9807870326639336,0.9384123816650631,1.0,1.0,3.605551275463989,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9300218730124258,0.9623781631282847,0.972067218046833,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9698690027569781,0.9886756580120016,0.9844394761484455,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7926791598023064,0.9299773558613482,0.9102637421785642,2.0,2.449489742783178,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.849009900990099,0.9735339183730325,0.9554949650759855,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.952026082906381,0.9590142671854734,0.9733432593209805,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.44763306352710325,0.45106075216972036,0.9620376592744858,187.70710678118655,187.70710678118655,2.449489742783178,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9665344743616503,0.9899849774661993,0.8348818494403395,1.0,0.0,9.899494936611665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9826675043423629,0.9879373589164786,0.9771360090234045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8931486112939319,0.9761864175644347,0.9749762271850217,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8791383332781615,0.9372349583023274,0.9440937980607571,1.8251407699364424,1.7071067811865475,3.7416573867739413,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7541519481204196,0.9355837411365225,0.9246631389449567,2.0,1.7320508075688772,7.810249675906654,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9428457572061683,0.931028567227337,0.9650260093475218,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8907347569542006,0.8674904795212559,0.9041456922225444,2.449489742783178,4.123105625617661,9.643650760992955,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9300241296104792,0.9526205161779401,0.4897212815837458,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.6997558921466203,0.7168784892744374,0.9202870767534926,2.2882456112707374,2.08113883008419,2.23606797749979,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8846190408289367,0.922128000129342,0.9160744428840943,4.242640687119285,5.744562646538029,5.385164807134504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7772469999381618,0.793142915837188,0.8406944176711382,3.618033988749895,3.774254628187981,7.54983443527075,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9847296951063285,0.9943511943189154,0.9887061462060127,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9704279460377021,0.9787828423918808,0.9770461222776664,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.9485931671648428,0.9799896218460141,374.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9787103894895015,0.9858335528350073,0.9874504533854591,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9630047326553217,0.9745372444317021,0.4481120067882902,1.0,1.0,199.93251715637757,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9609052983937448,0.973678978967039,0.49453747454577807,1.0,1.4142135623730951,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9825563331311308,0.9938345163463033,0.9925311297517565,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9631830512853636,0.9771435555827171,0.9770307433403111,2.0,6.164414002968976,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.9755200482363582,0.9906374472713376,0.9731895157403143,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.8822222222222222,0.8811460258780037,0.870610466642171,3.605551275463989,3.605551275463989,3.3166247903554,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.9046008365157301,0.9184078597624575,0.899327832330978,2.23606797749979,2.23606797749979,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.8805066592157959,0.0,0.0,2.449489742783178,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9736108131302296,0.9927059242127735,0.9823810071280754,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00264-000,0.9185040367836067,0.9538600809075222,0.9898834129380939,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00287-000,0.8056319580877538,0.8543853299553625,0.9445408612538365,3.0,3.0,4.358898943540674,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00307-000,0.9332162873928017,0.9683736173699303,0.8891729766938735,1.0,1.0,8.774964387392123,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00323-000,0.9736111111111111,0.982444940951165,0.45076621002505135,0.0,0.0,189.69258240356726,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00333-000,0.6962185944420491,0.7253407120065564,0.9260380083368891,1.9142135623730951,1.9142135623730951,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00335-000,0.9816292736777168,0.9919219664118175,0.9845802398629354,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00337-000,0.21870275173873602,0.9523789701536028,0.9298709037880828,280.75,2.0,3.605551275463989,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00355-000,0.9825440574626242,0.9922288546007433,0.98704696004388,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00372-000,0.9858833298733651,0.9860209963520927,0.9805573930800425,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00381-000,0.9329603149932649,0.9582417582417583,0.9622388106318518,2.23606797749979,3.3166247903554,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00384-000,0.857191030180408,0.9431156159712025,0.9310504007721684,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00422-000,0.9340996438771553,0.9447179226930559,0.9696812856739931,1.0,3.1622776601683795,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00428-000,0.48596882477292264,0.9868665728391101,0.9838919025967249,187.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00434-000,0.9302879034130486,0.9344191284761327,0.9510590840266359,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00438-000,0.48123620309050774,0.48123620309050774,0.971211151890636,187.0,187.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00447-000,0.9546525398907382,0.9753500609185457,0.983515646029064,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00450-000,0.9052960772316269,0.9627201317623211,0.9888033589923023,1.4142135623730951,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00458-000,0.9769946910825575,0.9839131599003069,0.9842061512884456,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00460-000,0.9618521258540407,0.9822766951767922,0.48318634611371647,1.0,1.0,189.12132034355963,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00462-000,0.8986266133847779,0.9638930645208831,0.9455854137574787,1.0,1.0,2.8284271247461903,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00462-001,0.9456210646823126,0.8991019545694665,0.9566649460462601,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00463-000,0.9533790976836386,0.9769559583923663,0.9599193327864369,1.0,1.0,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
