,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8274912976604873,0.9101884846211553,0.9633244756762841,11.180339887498949,12.884098726725126,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.971573494236571,0.9859496964440589,0.49031647116324534,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8330917796601072,0.9157466095393223,0.8933517265930936,3.0,3.0,8.366600265340756,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9651477977650877,0.9733440724120738,0.9363834127282475,1.0,1.0,5.385164807134504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9222657618911083,0.9589794604716484,0.970017166533762,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9558887512968974,0.9863770029406469,0.9860787452633285,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.3947327002780547,0.9255233553257165,0.910962584805535,188.0,2.449489742783178,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8514244500540931,0.9746085484553534,0.9554432306103593,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.943066383179778,0.9528763769889841,0.9726135867190913,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.42131857555341673,0.42607463391591877,0.9576175837415948,191.9749371855331,192.02493781056046,4.47213595499958,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
