,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8190088924486065,0.9104516129032258,0.9671311038194838,11.0,12.68857754044952,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9697885921339956,0.9857987843105187,0.4915058948716819,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8283222474962538,0.9168157107813681,0.9151240140437584,3.0,3.1622776601683795,6.782329983125268,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9742616257489792,0.9813859354066303,0.9432071070169263,1.0,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9276601073905353,0.9620575797949371,0.9732393627094205,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9590365448504984,0.989301177228325,0.9863226664509925,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7992584745762712,0.9321957398482885,0.9029751423918525,1.7320508075688772,2.449489742783178,5.385164807134504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8524619516562221,0.9742007851934941,0.9559652695894523,2.0,1.0,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9479985035540591,0.9572146197817426,0.9741841075378594,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.8291676221050218,0.8369050304534176,0.9611526584230218,9.695359714832659,9.9498743710662,4.47213595499958,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9604016007863512,0.9894560669456067,0.8382609009464178,1.0,0.0,9.433981132056603,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9829196591374242,0.9906502337441564,0.97999719914107,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8842204650064912,0.9765129055133583,0.4871773552833361,1.4142135623730951,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8748890712898014,0.9377296205482112,0.9450945094509451,1.8251407699364424,1.7071067811865475,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7674294268605646,0.9355301337424541,0.9221631253543562,1.7320508075688772,1.7320508075688772,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9398057305821989,0.9324582455796641,0.9658738638911973,1.0,2.23606797749979,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8909915656673045,0.8666995099437342,0.9034619945183467,2.23606797749979,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9287523992322457,0.9530141233207027,0.48857193204316235,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.7945803431773009,0.8111128030094082,0.9225885578241109,2.121320343559643,1.9142135623730951,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8727451265638638,0.9171566051035084,0.9111485056228142,5.0990195135927845,6.48074069840786,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.783545649583842,0.7866143964649179,0.8403176226629278,3.667543745546287,4.238612787525831,7.14142842854285,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.98057849093836,0.9933813415324865,0.9861200085415333,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9751125112511251,0.9791496755434205,0.9725732351010825,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.9525710436366358,0.969754907616489,374.0,1.4142135623730951,2.449489742783178,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9725970269724894,0.9848742196107234,0.9859995332050211,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9575958851403346,0.9754823007265829,0.4360888655013073,1.0,1.0,198.67261752992874,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9616548940464178,0.976143418977461,0.4948025195103593,1.0,1.4142135623730951,187.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9775823780085229,0.9929401284287889,0.9919678714859438,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9592290585618977,0.9770936187176106,0.9772440831742513,2.0,6.164414002968976,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.9612046493084307,0.9874037582229565,0.4855853954519074,0.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.8817564424597637,0.8813747228381374,0.8432363475786272,3.605551275463989,3.605551275463989,3.3166247903554,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.9075654668942723,0.9223909618156827,0.8977526276311917,2.0,2.23606797749979,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.8744393268912369,0.0,0.0,2.23606797749979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9698015530629853,0.9919771795328935,0.9765471197466404,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00264-000,0.9008813050815676,0.9436988072998994,0.9893015283530924,1.4142135623730951,1.7320508075688772,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00287-000,0.8026255030015172,0.8561433138307497,0.9496045426891098,2.8284271247461903,3.0,4.47213595499958,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00307-000,0.9416326248009417,0.9752161860234184,0.8845636537299468,1.0,1.0,8.602325267042627,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00323-000,0.9741980474198048,0.9864412186951667,0.9279746650832343,0.0,0.0,2.449489742783178,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00333-000,0.7274123578683136,0.7539737316735773,0.9282728531494109,1.618033988749895,1.618033988749895,3.605551275463989,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00335-000,0.9724169309796836,0.9914550330615303,0.9849002248454187,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00337-000,0.4381262602760974,0.9522409533043505,0.9287373685354939,187.5,2.0,3.605551275463989,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00355-000,0.9777553083923155,0.9906426155580609,0.9773616312942156,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00372-000,0.9846737571701721,0.9875162512406861,0.48817823366381896,0.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00381-000,0.9223657947263368,0.9467693544894993,0.9541576506955177,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00384-000,0.8525760925012753,0.942296759522456,0.9310567010309279,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00422-000,0.9279204943432898,0.9485213396612001,0.9658400964899728,1.0,3.3166247903554,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00428-000,0.9693815862780195,0.9884920896868881,0.9849948977806019,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00434-000,0.9379192656231611,0.9349220499662978,0.9487204374130512,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00438-000,0.9605263157894737,0.9605263157894737,0.9689617872359213,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00447-000,0.958152920739454,0.9779630204407396,0.9856594101785987,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00450-000,0.9083202297121761,0.966751998001998,0.9901915911456479,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00458-000,0.9610172152163675,0.9757478610237942,0.9777108493811894,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
