,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8295320290754721,0.9109460452207983,0.9650881860442376,11.045361017187261,12.727922061357855,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9747371910218771,0.9849677881173944,0.4870675636351187,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8381133873272987,0.9226669658635102,0.9016729665715433,3.0,3.0,7.14142842854285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9745974576271187,0.9799151720333986,0.94277296129809,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9286427145708582,0.9615527402663697,0.9675369896926298,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9679499643528421,0.9864719319217431,0.9863206798866856,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7899297124600639,0.9290987522075215,0.9052853133769878,2.0,2.23606797749979,4.58257569495584,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8497619467466055,0.9760378935636668,0.9509993836400458,2.0,1.0,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9508181523200296,0.9572222461551717,0.9666977644172627,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.7190878710438372,0.725790801474869,0.9522940049764602,12.0,12.041594578792296,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9713574097135741,0.9901557285873193,0.8247222843510028,0.0,0.0,10.862780491200215,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9856491267104238,0.9894766679658434,0.9765104676422143,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8929757596787785,0.9766905934467366,0.32433250623030224,1.4142135623730951,1.0,249.80473785412437,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8734091298495806,0.9353144377168707,0.9386381863349178,1.8251407699364424,1.8251407699364424,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7435804326399336,0.9365928189457601,0.9255783500654736,2.0,1.7320508075688772,6.48074069840786,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.941556562831517,0.9318209657267449,0.4812310740153502,1.0,2.23606797749979,187.70710678118655,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8945052310748104,0.8698773099832001,0.9103433052872131,2.0,4.0,5.385164807134504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9315571887919155,0.9529432073191784,0.4905563582302071,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.8603440927110524,0.8783767878357576,0.9230603228649015,1.7071067811865475,1.5,2.23606797749979,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8806429589526764,0.9170944171941465,0.9137262594739188,5.0990195135927845,6.4031242374328485,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7855614023566071,0.8047567344616059,0.8576145652996412,3.618033988749895,3.618033988749895,7.0710678118654755,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9836689555847028,0.9934725004847154,0.9885775286896183,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9752785904106835,0.9807305452620434,0.977147832273889,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.8757979498318015,0.9702652111252836,374.0,2.23606797749979,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9818004378445389,0.9887461272097685,0.9848174293310704,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9649998997131797,0.976156882356093,0.46048325756637715,1.0,1.0,199.8646803302686,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9628205448325801,0.9738915864045212,0.49480220498032407,1.0,1.4142135623730951,187.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9834939527172063,0.9941680605100727,0.989787987885022,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9623755548851441,0.9762624873980387,0.9686804326287294,2.0,6.164414002968976,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.973180308064029,0.9899895632744858,0.9724441088428036,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.8960316035194829,0.8956295432109844,0.8771892692735065,3.0,3.3166247903554,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.30407534866871944,0.30841800520885726,0.9006867101390732,249.91068360252294,250.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.8900045641259698,0.0,0.0,3.1622776601683795,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9710708117443869,0.9890465074519662,0.9882929801401361,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00264-000,0.9113626341320006,0.9490703775521844,0.9850474317445627,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00287-000,0.8004205131574624,0.8514421772808102,0.9413247156241696,3.0,3.0,4.47213595499958,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00307-000,0.9346611937285513,0.967628545736941,0.8962924449066112,1.0,1.0,8.774964387392123,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00323-000,0.9723430161767264,0.9811260396673065,0.8577547232665492,0.0,0.0,5.830951894845301,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00333-000,0.7386132368095497,0.7670979764640294,0.9243364060784807,1.618033988749895,1.618033988749895,4.123105625617661,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00335-000,0.9800130293159609,0.9915805318071806,0.9880675152458895,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00337-000,0.4401353699807921,0.9529677466357211,0.9284115172338381,187.5,2.0,3.7416573867739413,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00355-000,0.9818455617836527,0.9912082957619477,0.9857413249211356,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00372-000,0.9847342995169082,0.9862199782420709,0.9804859370145868,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00381-000,0.9360383012434127,0.9584274464318417,0.9692210058702205,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00384-000,0.8580802557415664,0.9434747646752756,0.9300400223871929,1.0,1.0,4.242640687119285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00422-000,0.4678393936143588,0.9579361652661995,0.9704701377053749,187.5,2.8284271247461903,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00428-000,0.9720044792833147,0.9869026858614677,0.9832312540881251,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00434-000,0.928271265034053,0.9324920044947705,0.9498818392195665,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00438-000,0.4844097995545657,0.4844097995545657,0.48579622744173395,187.0,187.0,187.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BraTS-GLI-00447-000,0.9542363112391931,0.9745394255275992,0.984479675142305,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00450-000,0.9066738283872701,0.966592916882424,0.9867896575438548,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00458-000,0.9811847043310681,0.9895720670163052,0.9865550761345093,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00460-000,0.9606078398724027,0.9814554792354496,0.4813635512268215,1.0,1.0,189.69258240356726,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00462-000,0.8970683436604088,0.9622100753434776,0.9413864853494639,1.0,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00462-001,0.9521094640820981,0.8696985181400102,0.95022601580848,1.0,3.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00463-000,0.9534527414000656,0.9773111272025102,0.47685272991230765,1.0,1.0,188.22474487139158,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00467-000,0.8382613435072899,0.9551515151515152,0.8923350995797552,2.0,1.0,6.48074069840786,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00467-001,0.9158975782388453,0.9509715677450098,0.9837005509363279,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00474-000,0.6453445689297456,0.6559911651021535,0.9648129747271191,7.211102550927978,7.874007874011811,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00474-001,0.8910515463917525,0.9206109123104733,0.9721401113319009,2.0,2.0,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00489-000,0.9298708710851109,0.9584810665153879,0.9577818247814305,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00492-000,0.47314445920023607,0.979838321109267,0.9492027955102411,187.5,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00503-000,0.8954996186117468,0.9304586389932605,0.8822434068047038,1.4142135623730951,2.0,4.242640687119285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00503-001,0.08641357884367658,0.10356811862835959,0.9261865594345945,128.8869788045338,9.629013558981258,2.23606797749979,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00521-000,0.35289609109821524,0.35120409719952056,0.45833055108969784,190.16227766016837,190.20156211871642,189.2360679774998,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BraTS-GLI-00521-001,0.07104033380109721,0.008193907062815373,0.8598307402974867,308.2747923223223,236.90607765145728,39.72404813208241,2.0,2.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0
BraTS-GLI-00535-000,0.9222709087445228,0.9390841137554773,0.8549315761144367,1.0,1.0,6.164414002968976,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00535-001,0.9507395498392283,0.9714721765672694,0.96893058497533,1.0,1.0,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00553-000,0.9486971830985915,0.9737442636106026,0.9566650839613998,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
