,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8286313267445343,0.9114241874738457,0.9645595604660991,6.164414002968976,8.94427190999916,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9681366781192638,0.981287256396151,0.4902107288113245,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.84788865051541,0.9257424360835101,0.9071435110310946,2.8284271247461903,2.8284271247461903,6.4031242374328485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9719344748979484,0.977899974313358,0.9397969345867035,1.0,1.0,4.58257569495584,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9306428526977409,0.9632076783975518,0.9717926345271711,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9705120898803224,0.9877754677754678,0.985169981044674,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7980381137280949,0.9348756506651243,0.9062972167408374,2.0,2.449489742783178,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8510412051395658,0.9749598939806096,0.9549361586525401,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9488150329547048,0.9565594381340501,0.970906329737384,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.21967491508976225,0.22157330154946364,0.962806166093469,281.05901699437493,281.05901699437493,2.23606797749979,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9702380952380952,0.9903894228098439,0.846099419448476,1.0,0.0,9.219544457292887,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9826190299338929,0.9880235277443129,0.9778696126888714,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.893822739480752,0.9749397672130035,0.9723431274212991,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.3505286075399452,0.3744517250700853,0.942601663343115,225.13005630797457,225.08284271247462,3.605551275463989,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7463316795101869,0.9328957942673453,0.9193789596758843,2.0,2.0,7.681145747868608,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9409417398244214,0.9314283381638568,0.48248848383437887,1.0,2.23606797749979,187.70710678118655,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8906148183371199,0.8690077677682853,0.9014599507167271,2.23606797749979,4.0,11.661903789690601,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9292626728110599,0.9519762299613046,0.4899486472945892,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.7796387199843764,0.7963902239081374,0.45849469808629856,2.121320343559643,1.9142135623730951,188.1180339887499,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.88133063480976,0.919952975514837,0.9126328510119535,4.358898943540674,5.830951894845301,5.385164807134504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7834396938730566,0.7936811906601784,0.8437673695792733,3.667543745546287,4.192582403567252,7.280109889280518,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.982802761902299,0.9932792433885569,0.9856794596826834,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9745191664063546,0.9805151333638702,0.976161255532002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.9482893069499951,0.9790654994884121,374.0,1.4142135623730951,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9802407208354897,0.9875615355621296,0.9874606872847566,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9628793680222482,0.9756184884178869,0.4539415869733781,1.0,1.0,200.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9610253596987757,0.9733894669949956,0.49505806917512807,1.0,1.0,187.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9815961829120113,0.99346202203979,0.9922874800660587,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9611485751577116,0.9769240211120658,0.9728058005483434,2.0,6.164414002968976,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.9737263794406652,0.9908893199318168,0.9702355989978171,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.9028880866425992,0.9020172910662824,0.8623031962508557,2.8284271247461903,3.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.4558802256617966,0.4625681871423312,0.8973443170689556,187.86602540378445,188.0,3.1622776601683795,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.8885804182861373,0.0,0.0,2.23606797749979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9709114414996768,0.9896206156048676,0.9871162716717035,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00264-000,0.9258756254467477,0.9585183519757181,0.9895350586280254,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00287-000,0.8049039098740888,0.8549817739975699,0.9437508551101382,3.0,3.0,4.358898943540674,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00307-000,0.9350773213434158,0.9689935198096957,0.892391615855165,1.0,1.0,8.774964387392123,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00323-000,0.9734265734265735,0.984304932735426,0.46220911318831465,0.0,0.0,188.87082869338698,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00333-000,0.7299716966089083,0.7586617635201871,0.9248018761651922,1.618033988749895,1.618033988749895,4.123105625617661,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00335-000,0.9795867725420542,0.9920642229167907,0.9863038727222898,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00337-000,0.2179666585543928,0.9527477904204708,0.9307292558962937,280.75,2.0,3.3166247903554,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00355-000,0.9819797167043836,0.9917131743615761,0.9828360401191825,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00372-000,0.9854955801022613,0.986389804929853,0.9799427766400883,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00381-000,0.9300308738335589,0.9544617650668958,0.965668072251243,2.23606797749979,3.1622776601683795,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00384-000,0.8552553569916151,0.942710803376648,0.9312708662571036,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00422-000,0.31020559922384694,0.9465583582727661,0.4867549573062578,249.66666666666666,3.1622776601683795,187.5,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00428-000,0.48562255723059744,0.9867234067359401,0.9842712057133203,187.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00434-000,0.9349569697324512,0.9345241975791555,0.952448917653042,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00438-000,0.32132132132132135,0.32132132132132135,0.9713622901158797,249.33333333333334,249.33333333333334,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
BraTS-GLI-00447-000,0.9538790742698475,0.9759745425616547,0.9822281785339704,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00450-000,0.455486612261415,0.9673619400640824,0.9888365590814083,187.70710678118655,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00458-000,0.9665596366199389,0.9776657360723363,0.981836518582018,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00460-000,0.9609739008582939,0.9822127019632375,0.4827642355136403,1.0,1.0,189.12132034355963,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00462-000,0.9010323468685478,0.9653165598730233,0.9448146133623425,1.0,1.0,2.8284271247461903,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
