,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8285599194360523,0.9114122364990471,0.9645273351520286,18.275666882497067,20.12461179749811,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9695388108082805,0.9814818150703439,0.48925328414337105,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8299370373521654,0.9176968073860032,0.9075501108696129,3.7416573867739413,4.123105625617661,7.615773105863909,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.4878241286411854,0.49014743340877026,0.9354927257754598,187.5,187.5,5.385164807134504,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9292331055429005,0.9629952011727921,0.972256278560884,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9647391138758411,0.9828429068346338,0.9827958960554645,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7851503526791239,0.9277348759011769,0.8935788949726232,2.23606797749979,2.8284271247461903,5.916079783099616,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8355413045312632,0.9634878855368834,0.9560569691150584,2.23606797749979,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9531991860728013,0.9595789473684211,0.9764685091284784,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.21978021978021978,0.22081734025739444,0.9600142837235228,281.0,281.0,3.1622776601683795,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9643939393939394,0.988979422731667,0.8399901267975171,1.0,0.0,9.219544457292887,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9771362419506548,0.9802560810576356,0.4886901873801437,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8991318125232406,0.9767374779421746,0.9755281040258719,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8684240810743242,0.927813522016931,0.9412175474474399,2.342778860141484,2.618033988749895,4.123105625617661,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7525273364968021,0.9411417709903651,0.9309497816593887,2.0,1.4142135623730951,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.939938343786542,0.9345999741501874,0.9619821353461152,1.0,2.0,1.7320508075688772,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8891067957764975,0.8701831312870776,0.9050686523649114,2.8284271247461903,4.123105625617661,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
