,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8254592643659516,0.9110770275491448,0.9668116070636259,11.045361017187261,12.727922061357855,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9716117324031629,0.9836885386483242,0.49259039715471253,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8367721033336175,0.9210489294054753,0.9120040492012863,3.0,3.1622776601683795,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9762977183784981,0.9814584971624016,0.9391048285115503,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9304142892582485,0.9629030767809295,0.9722737361226115,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9671083651735631,0.9869194312796209,0.9839471748235173,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7931819926803675,0.9301110196774799,0.899719787267068,2.0,2.449489742783178,5.916079783099616,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8534451981435202,0.9748863238894718,0.9557840231938635,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9446856182607478,0.9537237263212525,0.975194647942583,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.21703296703296704,0.21888210427430718,0.9621011856466093,282.2853571071357,282.3371173070874,4.123105625617661,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9693183395807302,0.9913570297084734,0.8429648015252073,1.0,0.0,9.219544457292887,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9867364232554712,0.9904560662088396,0.9719948893262889,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.892444764728041,0.9763520111404529,0.9717186533655515,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8784508207415009,0.9391456028719356,0.9414193833328732,1.8251407699364424,1.7071067811865475,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.739594615503636,0.9358175308314547,0.9190505832363528,2.0,1.7320508075688772,7.54983443527075,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9406869836563407,0.9332336375679652,0.9670377047895273,1.0,2.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8899187273041674,0.8675405135557206,0.8961574862767367,2.23606797749979,3.7416573867739413,3.4641016151377544,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.933647667211681,0.9553057307375925,0.4873395481510573,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.8214251017235861,0.8387311694114643,0.30477628861484063,1.9318516525781364,1.724744871391589,250.07868932583327,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8852375387791177,0.9230769230769231,0.9132830881447849,4.898979485566356,6.164414002968976,5.744562646538029,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00145-000,0.7793641109400721,0.7902798898894128,0.27670511906882833,3.667543745546287,4.192582403567252,251.76003662976018,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
BraTS-GLI-00153-000,0.9840326011738473,0.9940751981660559,0.9840793907713535,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00161-000,0.9703163881976538,0.9792620238011408,0.9729177782275127,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00163-000,0.0,0.874154335462656,0.9603629337141897,374.0,2.23606797749979,3.1622776601683795,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00174-000,0.9806304393971556,0.9880147931695735,0.9829201619998791,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00181-000,0.9690343176376696,0.9822894321626748,0.8669626305005367,1.0,1.0,24.372115213907882,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00182-000,0.9608571072629875,0.9736517903270675,0.3285959448792614,1.0,1.4142135623730951,249.66666666666666,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
BraTS-GLI-00190-000,0.9821880691156221,0.9937701618870046,0.9914182360366314,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00200-000,0.9612676056338029,0.9757420613152923,0.9829939438279884,1.7320508075688772,6.082762530298219,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00208-000,0.9763665884899874,0.9916622629323,0.2402764676003193,0.0,0.0,280.75,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
BraTS-GLI-00213-000,0.8862297840516032,0.8890944408472852,0.866230312947433,3.1622776601683795,3.4641016151377544,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00229-000,0.9129901960784313,0.926315087227726,0.894809518405024,1.7320508075688772,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00252-000,1.0,1.0,0.8719627571707463,0.0,0.0,2.23606797749979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00256-000,0.9725910064239829,0.9932576295244855,0.9779652534496318,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00264-000,0.910593483745932,0.9482101189459905,0.9862368117521353,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00287-000,0.8001052943305584,0.8556242868296199,0.9497768611806072,2.8284271247461903,3.0,4.47213595499958,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00307-000,0.9383385282558613,0.9716446124763705,0.8789858078707947,1.0,1.0,8.602325267042627,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00323-000,0.9769283746556474,0.9875256592452234,0.4664983164983165,0.0,0.0,188.4142135623731,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00333-000,0.7294092453748455,0.7580703850129309,0.9304872510218647,1.618033988749895,1.618033988749895,3.605551275463989,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00335-000,0.9785704482625659,0.9917832556073729,0.9823518302194305,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00337-000,0.289965217041639,0.9537683127870689,0.9337733748509491,249.66666666666666,1.7320508075688772,3.1622776601683795,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00355-000,0.9818484596169859,0.9917336782320193,0.9778258518117902,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00372-000,0.984691007077078,0.9841560785947372,0.9772416737830913,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00381-000,0.933232065179866,0.9571703708232705,0.4774314636472724,2.0,2.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00384-000,0.8583583583583584,0.9423502282460351,0.9304152406086347,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00422-000,0.3125830774840903,0.9591699411017055,0.975899518912223,249.66666666666666,2.449489742783178,1.4142135623730951,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00428-000,0.9717070434386285,0.9876063822022393,0.983107972769785,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00434-000,0.929188656266311,0.9345374411269066,0.9488521949254933,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00438-000,0.9678848283499446,0.9678848283499446,0.9661921708185054,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00447-000,0.9546766080228788,0.9753085329116497,0.9818497001801175,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00450-000,0.9075319435104237,0.9665070267723954,0.9888256847304602,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00458-000,0.963271644881584,0.9732901994940069,0.9718406117213577,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00460-000,0.960181805419065,0.9813587537899647,0.4832645024971187,1.0,1.0,189.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00462-000,0.9051850494686698,0.9683340174749311,0.9408784730394629,1.0,1.0,3.605551275463989,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00462-001,0.4576080853453116,0.6993120194253338,0.9503162570614649,187.70710678118655,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
