,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8244629852512189,0.910984070339371,0.966473568415316,11.74734012447073,13.490737563232042,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9713383358662614,0.9838902797431153,0.4898921672377595,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8321970671468999,0.9182403266713294,0.8960957709731953,3.1622776601683795,3.3166247903554,7.0710678118654755,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9696522046308488,0.9768101770632616,0.9377587360124374,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9282771298174443,0.9625151997006828,0.971371781247633,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9632339612069676,0.9871857529413167,0.9840715493020809,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7976307485386167,0.9325564457392571,0.90811115532564,2.0,2.449489742783178,4.69041575982343,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8549577590040017,0.9777032221989236,0.9539622970850061,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.947527368818422,0.9562595586628796,0.9705744978981784,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.2134132017852948,0.2152922152922153,0.9618182932488158,282.69374109684804,282.70794021658196,4.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9670360303853928,0.9890667707926591,0.8372550448022146,1.0,0.0,9.486832980505138,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9834870574233859,0.9879595098561534,0.978442917126035,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8902209567577468,0.9762071378586424,0.24309570054360943,1.4142135623730951,1.0,280.8535533905933,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.8751999455256749,0.9358973856806807,0.94250690703327,1.8251407699364424,1.8251407699364424,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7334132485537083,0.9317640747074406,0.9229762521471222,2.0,2.0,6.708203932499369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.47047848990342406,0.46472087478418156,0.4827132886535622,187.5,188.1180339887499,187.70710678118655,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BraTS-GLI-00125-000,0.8854869645521063,0.8603070203943691,0.9049534626912762,2.449489742783178,4.123105625617661,6.708203932499369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00129-000,0.9322150735294118,0.9548084871865528,0.4906045537817325,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00135-000,0.7588680956841517,0.7750769758756715,0.46027238377654484,2.2071067811865475,2.0,188.1180339887499,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BraTS-GLI-00141-000,0.8781827379375136,0.9156014615525935,0.9121538934968834,5.0990195135927845,6.557438524302,6.082762530298219,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
