,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8299650872817955,0.91220780426658,0.9667787209686651,7.483314773547883,9.899494936611665,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9717888361859925,0.9832806145503841,0.490070613501519,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8358675209588473,0.9215006039495491,0.8893679253299462,3.0,3.1622776601683795,7.615773105863909,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9757040542539032,0.9809910456821976,0.9379587049782414,1.0,1.0,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9298253769038876,0.9629843439708123,0.32390069173719466,1.4142135623730951,1.4142135623730951,249.66666666666666,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.964409989156295,0.98469460059521,0.9819121447028424,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7977432568204652,0.9325596576485095,0.909878027252629,2.0,2.449489742783178,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8512165237178365,0.9750363045432543,0.9551337734537874,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9517412706445232,0.9587624460493142,0.9744597249508841,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.7381766955121755,0.746031746031746,0.9594600494197976,10.677078252031311,10.677078252031311,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9676726378157375,0.9909045532693694,0.8279089555413742,1.0,0.0,10.488088481701515,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9826701375976199,0.9892267347083422,0.9751351861909372,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8915599083279748,0.9755989729463177,0.16185600322671576,1.4142135623730951,1.0,311.9023689270622,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
