,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-GLI-00001-000,0.8286093354239537,0.910709487482038,0.9655516927675613,11.045361017187261,12.727922061357855,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00001-001,0.9734059596283242,0.9843353397635797,0.4892493989606958,1.0,1.0,187.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BraTS-GLI-00013-000,0.8409569904999947,0.924118500452051,0.9143801221712572,2.8284271247461903,3.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00013-001,0.9653377879148062,0.972930470720224,0.9401270179861346,1.0,1.0,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-000,0.9299265510235974,0.9629268179336145,0.9712115300759645,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00015-001,0.9718302998814762,0.9884596681413306,0.9848541234178209,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00027-000,0.7937450003870669,0.9294656311579923,0.9045246921752946,2.0,2.449489742783178,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00037-000,0.8493862557118538,0.9732349841938883,0.95420138321625,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00047-000,0.9471953396598704,0.9550522648083624,0.9698621485061512,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00079-000,0.8017797552836485,0.8097219181081673,0.9563162640300967,10.677078252031311,10.723805294763608,5.830951894845301,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-000,0.9648504310796189,0.9898027415580074,0.8325527363917982,1.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00080-001,0.9809520259440117,0.987280608256946,0.9786690932296529,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00082-000,0.8921763402019539,0.9758278370843816,0.9732093662324129,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00091-000,0.4408748985029937,0.470325484785169,0.4711826658319437,187.80901699437496,187.75,188.6583123951777,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
BraTS-GLI-00114-000,0.7481504636865687,0.9360316352640149,0.9260413250245982,2.0,1.7320508075688772,6.708203932499369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-00119-000,0.9417279344969174,0.9301827223503624,0.48230758548633473,1.0,2.23606797749979,187.70710678118655,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
